,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
137,Port Blair,100,IN,1590075114,82,11.67,92.75,84.16,8.75
138,Salalah,20,OM,1590074986,84,17.02,54.09,86.0,10.29
139,Kwang Binh,100,VN,1590075290,63,17.48,106.6,86.68,7.65
140,Beringovskiy,98,RU,1590074975,97,63.05,179.32,26.28,14.32
141,Norman Wells,20,CA,1590075129,70,65.28,-126.83,42.8,5.82
142,Damietta,29,EG,1590075291,66,31.42,31.81,84.2,5.82
143,Tilichiki,4,RU,1590074991,97,60.47,166.1,24.64,7.34
144,Soavinandriana,0,MG,1590075291,79,-19.17,46.73,54.12,9.48
145,Saint-Philippe,58,RE,1590074962,69,-21.36,55.77,75.2,32.21
146,Omboué,18,GA,1590075291,77,-1.57,9.26,80.67,9.98
147,Taree,1,AU,1590075291,58,-31.9,152.47,53.6,13.87
148,Yangi Marg`ilon,3,UZ,1590075269,27,40.43,71.72,77.0,2.24
149,Severo-Kuril'sk,12,RU,1590074990,82,50.68,156.12,37.0,12.97
150,Avarua,75,CK,1590074963,73,-21.21,-159.78,77.0,13.87
151,Igrim,100,RU,1590075291,54,63.19,64.42,63.09,6.15
152,Bethel,1,US,1590074961,38,41.37,-73.41,64.99,5.82
153,Portland,90,US,1590075062,81,45.52,-122.68,52.0,5.82
154,Mossamedes,0,AO,1590074998,69,-15.2,12.15,82.4,19.46
155,Saint Paul Harbor,90,US,1590074960,87,57.79,-152.41,44.6,20.8
156,Mozarlândia,36,BR,1590074967,57,-14.74,-50.57,83.86,5.55
157,Castlecomer,100,IE,1590075291,53,52.81,-7.21,62.01,14.0
158,Alugan,100,PH,1590075258,86,12.22,125.48,81.93,9.62
159,Hong Kong,100,HK,1590075070,89,22.29,114.16,84.0,8.99
160,Portel,15,BR,1590075292,78,-1.94,-50.82,84.56,5.66
161,Avera,90,US,1590074960,93,33.19,-82.53,66.2,4.7
162,Benicarló,35,ES,1590075261,57,40.42,0.43,81.0,5.99
163,Rūdbār,89,AF,1590075292,16,30.15,62.6,84.76,7.81
164,Beloha,0,MG,1590074969,71,-25.17,45.05,69.82,14.7
165,Langarūd,0,IR,1590075292,69,37.2,50.15,78.8,4.7
166,Tucumcari,1,US,1590075259,13,35.17,-103.72,75.2,11.41
167,Malanje,20,AO,1590074998,70,-9.54,16.34,86.0,3.36
168,St. George's,40,GD,1590075108,83,12.06,-61.75,84.2,20.8
169,Port Hardy,75,CA,1590075037,71,50.7,-127.42,51.8,9.17
170,Xining,100,CN,1590075035,52,36.62,101.77,54.88,3.24
171,Te Anau,100,NZ,1590075135,91,-45.42,167.72,52.79,0.43
172,Monte Carmelo,74,BR,1590075292,70,-18.72,-47.5,72.86,9.4
173,Arraial do Cabo,0,BR,1590075120,61,-22.97,-42.03,78.8,12.75
174,Strezhevoy,100,RU,1590075293,48,60.73,77.59,66.2,8.95
175,Ribeira Grande,20,PT,1590075130,59,38.52,-28.7,64.4,14.99
176,Kassiopi,40,GR,1590075293,64,39.79,19.92,71.6,4.7
177,Biak,88,ID,1590074989,81,-0.91,122.88,78.87,3.51
178,Alice Springs,100,AU,1590075139,54,-23.7,133.88,53.6,5.82
179,Hermanus,68,ZA,1590074959,83,-34.42,19.23,64.99,15.9
180,Salamiyah,33,SY,1590075293,13,35.01,37.05,92.77,17.4
181,Noyabrsk,12,RU,1590075293,46,63.2,75.45,63.59,12.64
182,Fortuna,1,US,1590074961,81,40.6,-124.16,55.0,4.7
183,Ancud,2,CL,1590074962,100,-41.87,-73.82,50.0,1.12
184,Pisco,75,PE,1590074978,72,-13.7,-76.22,66.2,2.24
185,Esperance,90,AU,1590074980,87,-33.87,121.9,53.6,8.05
186,Fukuechō,6,JP,1590075293,73,32.69,128.84,64.9,9.37
187,Sitka,90,US,1590074976,81,57.05,-135.33,48.2,9.17
188,Meylan,25,FR,1590075293,44,45.22,5.79,78.8,8.05
189,Cayenne,75,GF,1590074702,78,4.93,-52.33,82.4,5.82
190,Praia,20,CV,1590074948,54,14.92,-23.51,82.4,16.11
191,Sarangani,42,PH,1590075294,77,5.4,125.46,83.84,10.47
192,Lüderitz,0,NA,1590074968,68,-26.65,15.16,69.8,17.22
193,Bakau,30,GM,1590075294,52,13.48,-16.68,87.8,9.17
194,Geraldton,0,AU,1590074902,76,-28.77,114.6,51.8,8.05
195,Carndonagh,20,IE,1590075294,72,55.25,-7.27,60.8,17.22
196,Hailar,99,CN,1590075294,68,49.2,119.7,55.35,8.43
197,Kavaratti,98,IN,1590075196,76,10.57,72.64,84.52,11.54
198,At-Bashi,41,KG,1590074962,35,41.17,75.81,55.71,0.87
199,Cidreira,93,BR,1590074973,65,-30.18,-50.21,74.23,7.92
200,Zonguldak,30,TR,1590075294,86,41.25,31.83,64.11,3.09
201,Balabac,97,PH,1590075294,76,7.99,117.06,83.75,7.23
202,Santa,100,PH,1590074998,82,17.49,120.43,82.35,3.98
203,Oistins,40,BB,1590075294,66,13.07,-59.53,87.8,20.8
204,Iqaluit,75,CA,1590075001,63,63.75,-68.51,26.6,9.17
205,Shache,78,CN,1590075242,20,38.42,77.24,75.34,3.89
206,Constitución,0,CL,1590074987,58,-35.33,-72.42,57.2,3.76
207,Saint George,1,US,1590074891,28,37.1,-113.58,62.01,3.36
208,Bismarck,1,US,1590075242,72,46.81,-100.78,66.99,14.99
209,Govlyar,20,AZ,1590075294,30,40.95,45.73,86.0,9.17
210,Najrān,75,SA,1590075254,32,17.49,44.13,84.2,20.8
211,Buchanan,75,LR,1590075295,70,5.88,-10.05,89.6,8.05
212,Los Llanos de Aridane,20,ES,1590075131,56,28.66,-17.92,73.4,12.75
213,George Town,20,MY,1590074725,89,5.41,100.34,86.0,6.55
214,Kasempa,0,ZM,1590075295,53,-13.46,25.83,66.97,4.03
215,Mount Gambier,75,AU,1590075018,100,-37.83,140.77,46.4,8.05
216,Zhuhai,40,CN,1590075260,94,22.28,113.57,86.0,14.99
217,Fairbanks,75,US,1590074733,54,64.84,-147.72,50.0,5.82
218,Nome,90,US,1590074806,87,64.5,-165.41,43.0,6.93
219,Nokaneng,0,BW,1590075295,26,-19.67,22.27,69.67,6.89
220,Biltine,54,TD,1590075001,18,14.53,20.92,100.13,11.95
221,Guerrero Negro,0,MX,1590075120,62,27.98,-114.06,67.5,12.41
222,Ayorou,38,NE,1590075295,7,14.73,0.92,108.5,18.81
223,Itarema,24,BR,1590075295,84,-2.92,-39.92,82.31,12.84
224,Broome,1,US,1590074980,30,42.25,-75.83,64.0,5.82
225,Vitry-le-François,67,FR,1590075295,39,48.73,4.58,82.4,4.7
226,Abu Kamal,0,SY,1590075150,10,34.45,40.92,97.12,7.16
227,Banyo,95,CM,1590075296,80,6.75,11.82,73.76,2.17
228,Taos,1,US,1590075296,15,36.41,-105.57,55.99,5.75
229,Mananjary,9,MG,1590075296,78,-21.22,48.33,70.11,5.44
230,Samarai,80,PG,1590075296,87,-10.62,150.67,80.35,13.82
231,Orsha,75,BY,1590075296,81,54.52,30.41,42.8,8.95
232,Hengyang,100,CN,1590075296,94,26.89,112.61,68.79,4.21
233,Ilulissat,20,GL,1590074758,36,69.22,-51.1,48.2,5.82
234,Saskylakh,98,RU,1590074978,90,71.92,114.08,34.79,5.75
235,Poso,100,ID,1590075255,78,-1.4,120.75,79.03,3.29
236,São Filipe,10,CV,1590075133,77,14.9,-24.5,73.85,14.45
237,Alofi,100,NU,1590075296,88,-19.06,-169.92,78.8,10.29
238,Ilo,60,PE,1590075296,68,-17.64,-71.34,66.61,9.4
239,Zeya,49,RU,1590075296,70,53.75,127.27,46.58,4.47
240,Labuhan,99,ID,1590074975,85,-6.88,112.21,80.89,8.23
241,Vanavara,0,RU,1590075296,50,60.34,102.28,53.13,4.61
242,Kumul,83,CN,1590075247,30,42.8,93.45,77.4,5.86
243,Longyearbyen,75,SJ,1590074998,74,78.22,15.64,37.4,17.22
244,Astoria,90,US,1590075297,81,46.19,-123.83,53.01,5.82
245,Voh,54,NC,1590075297,81,-20.97,164.7,65.34,4.38
246,Kasama,8,ZM,1590075297,72,-10.21,31.18,65.25,5.44
247,Duluth,68,US,1590075297,75,46.78,-92.11,64.99,3.36
248,Tuatapere,100,NZ,1590074970,86,-46.13,167.68,52.16,4.34
249,Mauganj,0,IN,1590075297,12,24.68,81.88,88.95,3.6
250,Faanui,24,PF,1590074970,81,-16.48,-151.75,79.2,25.88
251,Iracoubo,100,GF,1590075297,87,5.48,-53.2,81.14,11.12
252,Charters Towers,100,AU,1590075297,92,-20.1,146.27,63.86,4.18
253,Svetlaya,100,RU,1590075297,78,46.54,138.33,40.66,1.95
254,Haukipudas,13,FI,1590075297,39,65.18,25.35,50.0,18.34
255,Karpathos,2,GR,1590075297,60,35.51,27.21,75.2,19.46
256,Cabedelo,75,BR,1590075297,74,-6.98,-34.83,86.0,16.11
257,Husavik,20,IS,1590075256,44,66.04,-17.34,59.0,24.16
258,Marsh Harbour,0,BS,1590075084,68,26.54,-77.06,81.28,6.46
259,Isla Mujeres,40,MX,1590075298,74,21.23,-86.73,86.0,11.41
260,Kushiro,4,JP,1590075298,90,42.98,144.37,36.01,1.79
261,Mayumba,22,GA,1590075298,77,-3.43,10.66,81.14,6.73
262,Ciudad Bolivar,4,VE,1590075298,34,8.12,-63.55,97.84,10.33
263,Laguna,1,US,1590074979,72,38.42,-121.42,62.01,1.88
264,Kyra,100,RU,1590075298,78,49.58,111.98,48.72,5.61
265,Yankton,90,US,1590075298,82,42.87,-97.4,63.0,16.11
266,West Bay,75,KY,1590075298,79,19.37,-81.42,86.0,11.41
267,Atar,0,MR,1590074960,8,20.52,-13.05,108.03,12.77
268,Camacha,20,PT,1590075207,64,33.08,-16.33,69.8,14.99
269,Marawi,99,PH,1590074990,92,8.0,124.29,78.01,4.0
270,Funadhoo,100,MV,1590075299,88,6.15,73.27,79.84,18.99
271,Margate,7,GB,1590074977,59,51.38,1.39,77.0,5.01
272,Ngunguru,13,NZ,1590075299,94,-35.62,174.5,53.01,7.0
273,Mokrous,100,RU,1590075299,75,51.23,47.52,57.31,7.43
274,Moffat,35,GB,1590075299,55,55.33,-3.45,64.0,7.94
275,Rawson,0,AR,1590075279,39,-43.3,-65.1,55.44,6.73
276,Caravelas,4,BR,1590074969,72,-17.71,-39.25,78.71,8.61
277,Suzun,100,RU,1590075299,82,53.78,82.31,57.13,4.54
278,Keti Bandar,0,PK,1590075299,72,24.14,67.45,84.49,18.5
279,Malindi,40,KE,1590075299,94,-3.22,40.12,78.8,11.41
280,Samarinda,96,ID,1590075299,96,-0.5,117.15,75.79,1.61
281,Yatou,100,CN,1590074999,76,37.15,122.38,58.46,19.8
282,Arrondissement de Saint-Denis,40,FR,1590075250,37,48.92,2.33,87.01,3.36
283,Coquimbo,0,CL,1590074974,76,-29.95,-71.34,57.2,12.75
284,Rio de Janeiro,20,BR,1590075188,69,-22.9,-43.21,82.4,2.24
285,Hithadhoo,92,MV,1590074962,74,-0.6,73.08,84.83,10.22
286,Novyy Urgal,5,RU,1590075299,85,51.07,132.56,46.63,1.57
287,Pilar,90,BR,1590075082,88,-9.6,-35.96,80.6,6.93
288,Machiques,8,VE,1590075299,57,10.06,-72.55,90.09,5.37
289,Kaduna,86,NG,1590075093,32,10.52,7.44,93.99,7.16
290,Kangāvar,0,IR,1590075300,34,34.5,47.97,71.26,1.32
291,Eyl,47,SO,1590075300,54,7.98,49.82,89.15,23.26
292,Hasaki,75,JP,1590074983,93,35.73,140.83,57.2,9.17
293,Abu Samrah,6,SY,1590075149,13,35.3,37.18,93.52,19.35
294,Darnah,0,LY,1590075300,57,32.77,22.64,73.02,21.34
295,Cap Malheureux,26,MU,1590075141,76,-19.98,57.61,73.99,7.0
296,Paamiut,100,GL,1590074985,87,61.99,-49.67,35.13,15.28
297,Whitehorse,20,CA,1590074995,69,60.72,-135.05,44.01,3.36
298,Kailua,40,US,1590075007,73,21.4,-157.74,77.0,6.93
299,Olinda,40,BR,1590075267,74,-8.01,-34.86,84.2,11.41
300,Koulamoutou,67,GA,1590075300,78,-1.13,12.47,82.15,2.84
301,Pacific Grove,90,US,1590075081,82,36.62,-121.92,57.2,3.36
302,Kenai,90,US,1590075300,81,60.55,-151.26,44.6,4.7
303,Verkhnevilyuysk,0,RU,1590074974,54,63.45,120.32,47.35,6.46
304,Vaitape,25,PF,1590074962,79,-16.52,-151.75,79.95,25.84
305,Vila do Maio,20,CV,1590075300,54,15.13,-23.22,82.4,16.11
306,Birin,100,NP,1590075300,100,26.89,88.07,60.8,2.51
307,Kruisfontein,66,ZA,1590074978,25,-34.0,24.73,77.05,5.99
308,Kimbe,12,PG,1590075301,88,-5.55,150.14,76.41,4.41
309,Henties Bay,0,NA,1590075136,81,-22.12,14.28,64.99,7.0
310,Mukhen,100,RU,1590075301,67,48.1,136.1,54.12,3.42
311,College,40,US,1590075301,65,64.86,-147.8,48.99,3.58
312,Saiha,97,IN,1590075301,92,22.48,92.97,69.64,3.09
313,Yilan,100,TW,1590075108,99,24.76,121.75,77.0,4.72
314,Mar del Plata,90,AR,1590075039,82,-38.0,-57.56,57.99,19.46
315,Yagodnoye,69,RU,1590075301,92,62.55,149.67,32.22,3.91
316,Pontianak,100,ID,1590075301,88,-0.03,109.33,79.3,1.97
317,Cabo San Lucas,5,MX,1590075137,53,22.89,-109.91,79.0,2.24
318,Tazovsky,91,RU,1590075301,71,67.47,78.7,52.72,3.27
319,Bud,90,US,1590075096,87,39.45,-86.18,57.99,4.7
320,San Quintín,0,MX,1590075129,67,30.48,-115.95,66.43,8.28
321,San Patricio,75,MX,1590075127,83,19.22,-104.7,80.6,6.93
322,Alta Floresta,40,BR,1590075302,59,-9.88,-56.09,89.6,10.29
323,Adrar,9,MR,1590074999,8,20.5,-10.07,105.19,10.2
324,Kavieng,98,PG,1590074963,79,-2.57,150.8,83.14,10.02
325,Ségou,92,ML,1590075302,7,13.43,-6.22,107.47,8.01
326,Manaure,75,CO,1590075302,70,11.78,-72.44,86.0,11.41
327,Buraidah,0,SA,1590075262,15,26.33,43.98,100.4,13.87
328,Priiskovyy,100,RU,1590075302,69,51.93,116.63,50.13,9.93
329,Ürümqi,100,CN,1590075302,45,43.8,87.6,64.4,6.71
330,La Reforma,0,MX,1590075302,74,25.08,-108.05,82.0,1.99
331,Cotonou,40,BJ,1590075142,70,6.37,2.42,89.6,18.34
332,Cambridge,1,CA,1590075231,34,43.36,-80.31,64.4,5.82
333,Fort Saint James,0,CA,1590075246,53,54.43,-124.25,49.93,8.12
334,Isangel,99,VU,1590075256,69,-19.55,169.27,68.99,10.69
335,Nouadhibou,0,MR,1590075302,69,20.93,-17.03,73.4,20.8
336,Vao,93,NC,1590074976,58,-22.67,167.48,70.93,11.7
337,Klaksvík,100,FO,1590075247,87,62.23,-6.59,50.0,8.05
338,Ihosy,38,MG,1590075267,84,-22.4,46.12,59.18,10.63
339,Åmot,97,NO,1590075303,86,59.57,7.99,47.48,0.6
340,Nenagh,75,IE,1590075303,55,52.86,-8.2,61.0,17.22
341,Boyolangu,100,ID,1590075303,85,-8.12,111.89,78.46,0.69
342,Heihe,40,CN,1590074969,93,50.24,127.49,50.0,2.24
343,Nelson Bay,75,AU,1590075092,76,-32.72,152.15,52.0,17.22
344,Katsuura,100,JP,1590074982,92,35.13,140.3,57.99,3.0
345,Kieta,99,PG,1590074998,78,-6.22,155.63,79.77,4.99
346,Pangai,96,TO,1590075304,85,-19.8,-174.35,74.44,4.63
347,Novikovo,87,RU,1590075304,66,51.15,37.89,51.84,6.29
348,Bartica,90,GY,1590075304,94,6.4,-58.62,80.6,13.87
349,Dunedin,100,NZ,1590074686,47,-45.87,170.5,60.01,7.56
350,Lagos,75,NG,1590075304,66,6.58,3.75,91.4,9.17
351,San Martín,40,AR,1590075075,87,-33.08,-68.47,48.2,9.17
352,Baculin,81,PH,1590075305,80,7.45,126.58,79.14,4.9
353,Macon,90,US,1590075305,72,39.87,-88.97,61.0,6.93
354,Teluk Anson,20,MY,1590075305,94,4.03,101.02,78.8,1.5
355,Lorengau,9,PG,1590074990,78,-2.02,147.27,82.08,5.59
356,Vengerovo,56,RU,1590075250,66,55.68,76.75,54.0,6.42
357,Sibiti,52,CG,1590075305,82,-3.68,13.35,78.55,3.06
358,Taltal,0,CL,1590075005,55,-25.4,-70.48,66.45,6.76
359,Chapais,20,CA,1590074970,28,49.78,-74.85,71.6,11.41
360,Prince Rupert,90,CA,1590075306,100,54.32,-130.32,44.6,4.7
361,Saldanha,30,ZA,1590074731,68,-33.01,17.94,68.0,8.05
362,Cerritos,1,US,1590075306,68,33.86,-118.06,68.0,2.93
363,Kerman,40,IR,1590075306,63,30.28,57.08,64.4,6.93
364,Bima,73,ID,1590075306,90,-8.47,118.72,76.35,5.84
365,Pauini,3,BR,1590075306,50,-7.71,-66.98,91.9,2.57
366,Waipawa,0,NZ,1590074998,74,-41.41,175.52,55.0,1.01
367,Portsmouth,70,GB,1590075030,51,50.8,-1.09,77.0,8.41
368,Nemuro,0,JP,1590074959,89,43.32,145.57,37.96,2.8
369,Arkhangelsk,75,RU,1590075306,60,64.54,40.54,41.0,13.42
370,Vila Franca do Campo,20,PT,1590075143,68,37.72,-25.43,66.2,13.87
371,Coyhaique,20,CL,1590074890,81,-45.58,-72.07,42.8,5.82
372,Kabinda,49,CD,1590075307,61,-6.13,24.48,78.93,3.69
373,San Juan de Arama,100,CO,1590075307,89,3.35,-73.89,73.17,1.66
374,Winnemucca,1,US,1590075241,50,40.97,-117.74,51.8,6.93
